mood,age,gender,subject,semester,sibilings,living,employment,personality,relationship,wakeup,breakfast,launch,dinner,sleep,hobbies,smoker,alcoholic,drug_addicted,friends,hangout,social_events,pray,sports,exercise,meditation,video_games,study_hours,phone_hours,medication,movies_per_week,music hours,depression,category
Angry,22,Female,Engineering,11,1,With family,None,Introvert,Single,10:00:00 AM,10:30:00 AM,2:00:00 PM,12:00:00 PM,1:00:00 AM,Music,No,No,No,2,Sometimes,Often,Sometimes,Not at all,Sometimes,Not at all,Often,4,3 to 5,No,3,2,5,Moderate
Happy,24,Male,Engineering,16,2,With family,Part time,Introvert,Married,11:12:00 AM,2:50:00 PM,2:50:00 PM,1:00:00 PM,3:30:00 AM,"Traveling, Programming",Yes,No,No,7,Often,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Often,2,3 to 5,No,3,0,12,Moderate
Tensed,24,Male,Engineering,13,1,With family,None,Ambivert,Single,9:00:00 AM,11:00:00 AM,2:30:00 PM,2:00:00 PM,4:00:00 AM,Traveling,No,No,No,3,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Sometimes,3,6 to 8,No,2,1,17,Moderate
Lost,22,Female,Business,8,1,With family,None,Ambivert,Single,11:00:00 AM,11:10:00 AM,2:00:00 PM,3:00:00 PM,3:00:00 AM,Music,No,No,No,3,Sometimes,Often,Not at all,Not at all,Not at all,Not at all,Not at all,1,6 to 8,No,3,3,8,Moderate
Happy,24,Male,Engineering,14,4,Without family,None,Ambivert,Single,6:00:00 AM,9:00:00 AM,1:30:00 PM,4:00:00 PM,11:30:00 PM,Programming,No,No,No,1,Sometimes,Not at all,Regularly,Not at all,Regularly,Sometimes,Not at all,4,3 to 5,Yes,0,1,5,Moderate
Lost,25,Male,Engineering,15,1,With family,None,Ambivert,In a relationship,10:00:00 AM,1:00:00 PM,12:00:00 AM,5:00:00 PM,1:00:00 AM,Photography,Yes,No,No,0,Not at all,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,1,6 to 8,No,3,0,14,Moderate
Lost,22,Male,Engineering,11,1,With family,Part time,Introvert,Single,9:00:00 AM,9:30:00 AM,3:00:00 AM,6:00:00 PM,2:00:00 AM,None,No,No,No,3,Sometimes,Not at all,Not at all,Not at all,Sometimes,Not at all,Not at all,3,0 to 2,No,0,2,18,Moderate
Sad,23,Female,Engineering,13,2,With family,None,Extrovert,Single,9:00:00 AM,9:00:00 AM,3:00:00 AM,7:00:00 PM,1:00:00 AM,Music,No,No,No,0,Not at all,Not at all,Sometimes,Not at all,Not at all,Not at all,Very Often,1,0 to 2,No,3,2,18,Moderate
Tensed,24,Female,Archaeology ,6,4,With family,None,Ambivert,Single,8:30:00 AM,9:00:00 AM,2:00:00 AM,8:00:00 PM,3:00:00 AM,"Photography, Painting",No,No,No,3,Sometimes,Sometimes,Regularly,Regularly,Not at all,Not at all,Sometimes,5,more than 8,No,3,1,10,Moderate
Happy,21,Male,Engineering,12,1,With family,None,Introvert,Single,8:00:00 AM,9:00:00 AM,2:30:00 PM,9:00:00 PM,1:00:00 AM,"Music, Photography",No,No,No,5,Sometimes,Sometimes,Regularly,Not at all,Not at all,Not at all,Sometimes,4,6 to 8,No,5,2,16,Moderate
Lost,21,Male,Engineering,5,2,With family,None,Ambivert,Single,9:00:00 AM,9:30:00 AM,2:30:00 PM,10:00:00 PM,12:30:00 AM,Programming,No,No,No,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,0,3 to 5,No,0,0,13,Moderate
Lost,21,Female,Engineering,8,2,With family,None,Ambivert,Single,12:00:00 PM,1:01:00 PM,1:01:00 PM,11:00:00 PM,3:03:00 AM,Music,No,No,No,5,Not at all,Sometimes,Not at all,Not at all,Not at all,Not at all,Sometimes,1,more than 8,No,5,10,20,Severe
Lost,18,Male,Business,1,3,With family,None,Introvert,Single,8:00:00 AM,12:00:00 AM,3:00:00 PM,12:00:00 AM,3:00:00 AM,None,Yes,No,No,3,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Sometimes,5,6 to 8,Yes,2,2,24,Severe
Sad,24,Male,Engineering,13,1,With family,None,Extrovert,In a relationship,9:00:00 AM,10:00:00 AM,2:00:00 PM,1:00:00 AM,5:00:00 AM,"Music, Painting",Yes,No,No,1,Often,Often,Sometimes,Sometimes,Not at all,Not at all,Not at all,2,more than 8,Yes,2,1,12,Moderate
Lost,24,Female,Engineering,14,1,With family,None,Introvert,Single,3:00:00 PM,6:00:00 AM,6:00:00 PM,2:00:00 AM,11:00:00 AM,"Photography, Painting, Watching movies, watching series",No,No,No,5,Sometimes,Not at all,Sometimes,Not at all,Not at all,Not at all,Sometimes,0,3 to 5,Yes,1,1,23,Severe
Sad,25,Female,Engineering,12,1,With family,Part time,Extrovert,Married,12:00:00 PM,12:00:00 PM,3:00:00 PM,3:00:00 AM,4:00:00 AM,Traveling,No,No,No,2,Sometimes,Sometimes,Regularly,Not at all,Not at all,Not at all,Not at all,4,3 to 5,No,0,0,6,Moderate
Happy,21,Male,Engineering,5,0,With family,None,Extrovert,Single,9:00:00 AM,9:30:00 AM,2:00:00 PM,4:00:00 AM,2:30:00 AM,Painting,Yes,No,No,7,Very Often,Often,Regularly,Sometimes,Not at all,Not at all,Often,3,3 to 5,No,2,4,11,Moderate
Sad,21,Male,Business,4,1,With family,None,Introvert,Single,9:00:00 AM,10:15:00 AM,1:30:00 AM,5:00:00 AM,12:20:00 AM,Photography,No,No,No,1,Sometimes,Not at all,Sometimes,Sometimes,Sometimes,Regularly,Not at all,3,0 to 2,No,2,0,14,Moderate
Angry,20,Male,Engineering,4,4,With family,None,Ambivert,Single,5:00:00 AM,8:00:00 AM,2:00:00 PM,6:00:00 AM,12:00:00 AM,Traveling,No,No,No,4,Very Often,Very Often,Regularly,Sometimes,Sometimes,Not at all,Not at all,4,0 to 2,No,2,0,3,None
Happy,23,Male,Engineering,10,1,With family,None,Introvert,Single,8:00:00 AM,8:30:00 AM,2:00:00 PM,7:00:00 AM,12:00:00 AM,Traveling,No,No,No,2,Sometimes,Not at all,Regularly,Sometimes,Sometimes,Sometimes,Often,3,6 to 8,No,2,1,4,None
Tensed,22,Male,Architecture,7,5,With family,None,Ambivert,Single,5:00:00 AM,3:00:00 PM,7:00:00 PM,8:00:00 AM,2:00:00 PM,Gaming,No,No,No,1,Sometimes,Sometimes,Regularly,Not at all,Not at all,Not at all,Very Often,10,3 to 5,Yes,1,1,10,Moderate
Sad,22,Female,ESM,4,2,With family,None,Introvert,Single,9:00:00 AM,11:30:00 AM,4:00:00 PM,9:00:00 AM,12:00:00 AM,None,No,No,No,2,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,3,6 to 8,Yes,0,1,27,Severe
Lost,25,Male,Engineering,13,1,With family,None,Introvert,Single,2:00:00 PM,2:30:00 PM,6:00:00 PM,10:00:00 AM,5:00:00 AM,Gaming,Yes,No,No,2,Often,Often,Sometimes,Regularly,Regularly,Not at all,Very Often,1,more than 8,No,0,2,6,Moderate
Happy,25,Male,Engineering,17,1,With family,None,Introvert,Single,8:00:00 AM,8:30:00 AM,2:00:00 PM,11:00:00 AM,12:00:00 PM,"Music, Traveling, Programming",No,No,No,4,Sometimes,Not at all,Regularly,Sometimes,Sometimes,Not at all,Sometimes,1,3 to 5,No,3,1,3,None
Happy,21,Female,Business,5,3,With family,None,Ambivert,Single,8:00:00 AM,8:30:00 AM,2:00:00 PM,12:00:00 PM,1:00:00 AM,"Dancing, Traveling",No,No,No,6,Sometimes,Often,Sometimes,Not at all,Sometimes,Not at all,Not at all,0,more than 8,No,0,3,14,Moderate
Sad,21,Female,Engineering,6,2,With family,None,Ambivert,Single,8:00:00 AM,10:00:00 AM,3:00:00 PM,1:00:00 PM,2:00:00 AM,"Music, Traveling",No,No,No,5,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,6,more than 8,No,1,4,5,Moderate
Happy,25,Male,Business,11,3,With family,None,Introvert,Single,11:00:00 AM,11:30:00 AM,4:00:00 AM,2:00:00 PM,3:00:00 AM,watching football,Yes,No,No,6,Often,Very Often,Regularly,Not at all,Sometimes,Not at all,Very Often,1,6 to 8,No,0,4,24,Severe
Tensed,21,Male,Engineering,5,2,With family,None,Ambivert,In a relationship,9:30:00 AM,10:00:00 AM,3:00:00 AM,3:00:00 PM,2:00:00 AM,Programming,No,No,No,3,Sometimes,Sometimes,Regularly,Regularly,Regularly,Sometimes,Sometimes,0,6 to 8,No,1,1,8,Moderate
Happy,23,Male,Engineering,11,1,With family,Part time,Introvert,Single,7:00:00 AM,8:30:00 AM,2:00:00 PM,4:00:00 PM,12:00:00 AM,"Programming, Gaming",No,No,No,5,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,5,6 to 8,No,2,9,4,None
Tensed,23,Male,Business,8,1,With family,Part time,Introvert,Single,6:00:00 AM,8:00:00 AM,1:45:00 PM,5:00:00 PM,2:00:00 AM,"Photography, Painting, Reading",No,No,No,2,Sometimes,Sometimes,Regularly,Not at all,Sometimes,Sometimes,Not at all,10,3 to 5,Yes,1,3,13,Moderate
Angry,22,Female,Engineering,5,4,With family,Part time,Ambivert,Engaged,5:30:00 AM,10:00:00 AM,3:00:00 PM,6:00:00 PM,10:30:00 AM,"Music, Photography, reading",No,No,No,3,Often,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Not at all,1,3 to 5,Yes,1,1,10,Moderate
Tensed,25,Male,Engineering,12,2,With family,None,Introvert,Single,6:00:00 AM,9:00:00 AM,2:00:00 AM,7:00:00 PM,12:00:00 PM,"playing cricket, playing football",No,No,No,2,Often,Often,Regularly,Sometimes,Sometimes,Regularly,Sometimes,8,0 to 2,No,0,2,6,Moderate
Sad,23,Female,Business,5,1,With family,None,Introvert,In a relationship,9:00:00 AM,10:00:00 AM,3:00:00 PM,8:00:00 PM,12:00:00 PM,None,No,No,No,0,Not at all,Often,Sometimes,Not at all,Not at all,Not at all,Often,4,3 to 5,No,1,0,21,Severe
Tensed,25,Male,Engineering,13,1,With family,None,Introvert,Single,11:00:00 AM,1:00:00 PM,4:30:00 PM,9:00:00 PM,3:00:00 AM,"Programming, tinkering, browsing, gaming",No,No,No,2,Often,Sometimes,Sometimes,Not at all,Sometimes,Sometimes,Very Often,4,3 to 5,No,0,2,14,Moderate
Happy,21,Male,Engineering,11,1,With family,Part time,Ambivert,Single,7:00:00 AM,10:00:00 AM,3:00:00 PM,10:00:00 PM,1:00:00 AM,Programming,Yes,Yes,No,5,Very Often,Sometimes,Not at all,Sometimes,Sometimes,Not at all,Very Often,2,0 to 2,No,0,6,2,None
Happy,23,Male,Engineering,11,3,With family,None,Ambivert,Single,8:00:00 AM,8:30:00 AM,2:00:00 AM,11:00:00 PM,12:00:00 AM,"Music, Dancing, Painting, Traveling, Programming",No,No,No,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,4,0 to 2,No,2,1,17,Moderate
Sad,22,Female,Law,11,3,With family,None,Introvert,In a relationship,8:00:00 AM,11:00:00 AM,4:00:00 AM,12:00:00 AM,2:00:00 AM,None,No,No,No,0,Not at all,Not at all,Sometimes,Not at all,Not at all,Not at all,Not at all,5,more than 8,No,0,0,22,Severe
Happy,25,Male,Engineering,9,2,With family,Part time,Ambivert,In a relationship,7:00:00 AM,9:00:00 AM,2:00:00 PM,1:00:00 AM,2:00:00 AM,Traveling,Yes,No,No,7,Often,Sometimes,Regularly,Not at all,Not at all,Not at all,Not at all,8,6 to 8,No,2,1,3,None
Happy,21,Male,Business,5,1,With family,None,Introvert,In a relationship,8:00:00 AM,9:00:00 AM,2:00:00 PM,2:00:00 AM,12:00:00 AM,"Sports, Internet surfacing",No,No,No,3,Sometimes,Sometimes,Regularly,Regularly,Regularly,Not at all,Often,2,more than 8,No,1,0,15,Moderate
Lost,22,Female,Engineering,11,0,With family,None,Introvert,Single,10:00:00 AM,10:00:00 AM,3:00:00 PM,3:00:00 AM,2:00:00 AM,Painting,No,No,No,3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Very Often,2,more than 8,No,0,1,9,Moderate
Lost,23,Male,Engineering,12,1,With family,None,Ambivert,Engaged,7:00:00 AM,9:00:00 AM,1:30:00 AM,4:00:00 AM,3:00:00 AM,none,No,No,Yes,6,Sometimes,Very Often,Sometimes,Regularly,Regularly,Not at all,Often,3,6 to 8,No,0,1,17,Moderate
Happy,24,Male,Engineering,12,1,With family,Part time,Ambivert,In a relationship,10:00:00 AM,11:00:00 AM,3:00:00 PM,5:00:00 AM,2:00:00 AM,"Gaming, Cycling",Yes,No,No,3,Often,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Very Often,3,3 to 5,No,1,1,4,None
Tensed,23,Female,Biochemistry ,5,2,With family,None,Introvert,In a relationship,11:30:00 AM,11:30:00 AM,3:00:00 PM,6:00:00 AM,3:00:00 AM,"Photography, Painting",No,No,No,3,Not at all,Not at all,Sometimes,Not at all,Sometimes,Not at all,Not at all,3,more than 8,Yes,0,1,5,Moderate
Happy,23,Male,Engineering,11,1,With family,None,Introvert,Single,7:00:00 AM,7:00:00 AM,2:40:00 PM,7:00:00 AM,12:00:00 AM,None,No,No,No,0,Not at all,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Sometimes,4,3 to 5,No,0,0,13,Moderate
Tensed,23,Male,Engineering,13,1,With family,Part time,Introvert,Single,9:30:00 AM,10:30:00 AM,3:00:00 PM,8:00:00 AM,2:00:00 AM,Traveling,No,No,No,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,1,6 to 8,No,1,2,21,Severe
Lost,23,Male,Engineering,11,3,With family,None,Introvert,Single,8:00:00 AM,9:30:00 AM,2:30:00 PM,9:00:00 AM,12:00:00 AM,Traveling,No,No,No,1,Often,Sometimes,Sometimes,Not at all,Not at all,Sometimes,Very Often,0,6 to 8,No,4,0,9,Moderate
Happy,24,Female,Engineering,12,1,With family,None,Ambivert,In a relationship,9:30:00 AM,11:15:00 AM,3:30:00 PM,10:00:00 AM,12:00:00 PM,"Dancing, Painting, Traveling",No,No,No,5,Sometimes,Sometimes,Sometimes,Sometimes,Regularly,Regularly,Sometimes,4,more than 8,No,8,2,20,Severe
Happy,21,Female,Engineering,6,1,With family,Part time,Ambivert,In a relationship,10:30:00 AM,1:12:00 PM,3:00:00 PM,11:00:00 AM,3:00:00 AM,Dancing,No,No,No,2,Sometimes,Not at all,Regularly,Not at all,Not at all,Not at all,Not at all,4,3 to 5,No,0,0,12,Moderate
Sad,22,Male,Engineering,10,2,With family,None,Ambivert,Single,6:30:00 AM,9:20:00 AM,1:30:00 PM,12:00:00 PM,11:00:00 PM,Traveling,No,No,No,5,Often,Often,Sometimes,Not at all,Sometimes,Sometimes,Not at all,3,6 to 8,No,7,5,8,Moderate
Lost,21,Female,Business,3,2,With family,None,Introvert,In a relationship,1:00:00 PM,1:30:00 PM,3:00:00 PM,1:00:00 PM,4:00:00 AM,None,No,No,No,2,Sometimes,Not at all,Sometimes,Not at all,Not at all,Not at all,Sometimes,1,more than 8,No,4,0,16,Moderate
Lost,23,Male,Business,7,2,With family,None,Ambivert,In a relationship,8:00:00 AM,9:00:00 AM,3:00:00 AM,2:00:00 PM,12:30:00 AM,"Music, Traveling, Gaming",No,No,No,5,Often,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,0,3 to 5,No,1,0,17,Moderate
Tensed,22,Female,Engineering,5,2,With family,None,Ambivert,In a relationship,9:00:00 AM,12:00:00 PM,3:00:00 PM,3:00:00 PM,3:00:00 AM,Painting,No,No,No,2,Not at all,Not at all,Regularly,Not at all,Sometimes,Not at all,Not at all,3,3 to 5,Yes,0,0,9,Moderate
Tensed,21,Female,Engineering,11,3,With family,None,Extrovert,Single,11:00:00 AM,12:00:00 PM,4:00:00 PM,4:00:00 PM,4:00:00 AM,Watching movies,No,No,No,3,Often,Often,Sometimes,Not at all,Not at all,Not at all,Sometimes,2,more than 8,No,3,1,19,Moderate
Lost,23,Male,Law,6,1,With family,None,Ambivert,Single,11:00:00 AM,12:30:00 PM,3:00:00 PM,5:00:00 PM,3:00:00 PM,"Photography, Reading",No,No,No,3,Not at all,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,1,more than 8,No,0,5,20,Severe
Tensed,25,Male,Pharmacy,7,2,With family,None,Extrovert,Single,5:00:00 AM,9:00:00 AM,2:00:00 PM,6:00:00 PM,12:00:00 AM,Photography,No,No,No,0,Not at all,Often,Regularly,Sometimes,Sometimes,Sometimes,Not at all,5,0 to 2,No,0,0,7,Moderate
Lost,21,Male,Business,5,2,With family,None,Extrovert,Single,10:00:00 AM,10:30:00 AM,2:00:00 AM,7:00:00 PM,2:00:00 AM,Gaming,No,No,No,6,Often,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Very Often,1,6 to 8,No,2,2,12,Moderate
Lost,20,Female,BBA,3,1,With family,Full time,Extrovert,In a relationship,11:30:00 AM,12:00:00 PM,3:00:00 AM,8:00:00 PM,3:00:00 AM,"Music, Dancing, Traveling",No,No,No,0,Sometimes,Often,Sometimes,Not at all,Sometimes,Not at all,Not at all,0,more than 8,No,0,4,12,Moderate
Happy,24,Female,Engineering,14,1,With family,None,Introvert,Engaged,10:00:00 AM,11:00:00 AM,3:30:00 PM,9:00:00 PM,3:00:00 AM,Music,No,No,No,1,Sometimes,Not at all,Sometimes,Not at all,Not at all,Not at all,Not at all,1,3 to 5,No,1,2,20,Severe
Sad,20,Male,Business,1,1,With family,None,Introvert,Single,10:00:00 AM,11:00:00 AM,4:00:00 PM,10:00:00 PM,2:00:00 AM,Gaming,No,No,No,0,Sometimes,Sometimes,Not at all,Sometimes,Sometimes,Not at all,Very Often,4,3 to 5,No,4,4,17,Moderate
Tensed,20,Female,Economics,8,2,With family,Part time,Ambivert,Single,9:30:00 AM,10:00:00 AM,3:00:00 PM,11:00:00 PM,3:30:00 AM,None,No,No,No,2,Sometimes,Not at all,Regularly,Not at all,Sometimes,Not at all,Not at all,1,6 to 8,No,5,3,14,Moderate
Tensed,23,Male,Engineering,11,1,With family,None,Extrovert,Single,7:00:00 AM,8:30:00 AM,2:00:00 PM,12:00:00 AM,1:00:00 AM,other,Yes,No,No,4,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,5,6 to 8,No,1,2,10,Moderate
Happy,25,Male,Engineering,23,2,With family,None,Extrovert,In a relationship,9:30:00 AM,10:30:00 AM,3:00:00 PM,1:00:00 AM,2:00:00 AM,"Music, Traveling",No,Yes,No,7,Often,Not at all,Sometimes,Regularly,Sometimes,Sometimes,Not at all,1,0 to 2,Yes,2,1,11,Moderate
Lost,21,Male,Engineering,4,1,With family,None,Ambivert,In a relationship,12:12:00 PM,1:12:00 PM,1:00:00 PM,2:00:00 AM,7:00:00 AM,Programming,No,No,No,0,Not at all,Not at all,Regularly,Not at all,Not at all,Not at all,Not at all,9,0 to 2,No,0,1,18,Moderate
Tensed,25,Male,Engineering,12,2,With family,None,Ambivert,Single,9:00:00 AM,10:00:00 PM,8:00:00 PM,3:00:00 AM,1:00:00 AM,other,Yes,No,No,0,Sometimes,Sometimes,Regularly,Not at all,Regularly,Not at all,Often,0,3 to 5,No,0,3,9,Moderate
Lost,22,Female,Engineering,11,1,With family,None,Ambivert,Single,11:00:00 AM,11:30:00 AM,2:00:00 PM,4:00:00 AM,12:00:00 PM,"Music, Painting, Traveling",No,No,No,4,Very Often,Sometimes,Sometimes,Sometimes,Regularly,Not at all,Sometimes,2,6 to 8,No,5,9,10,Moderate
Tensed,26,Male,Engineering,8,1,With family,None,Ambivert,Single,11:00:00 AM,11:30:00 AM,3:00:00 PM,5:00:00 AM,4:00:00 AM,None,Yes,Yes,Yes,2,Very Often,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,0,3 to 5,No,2,6,17,Moderate
Lost,22,Female,Engineering,6,0,With family,None,Ambivert,Single,6:00:00 PM,4:00:00 PM,6:30:00 PM,6:00:00 AM,8:00:00 AM,"Music, Cooking",Yes,No,No,5,Sometimes,Not at all,Not at all,Not at all,Not at all,Not at all,Sometimes,0,more than 8,No,3,4,21,Severe
Tensed,23,Female,Engineering,11,1,With family,None,Introvert,Single,12:00:00 PM,1:30:00 PM,5:00:00 PM,7:00:00 AM,3:00:00 AM,"Music, Photography, Traveling, Watching Movies",No,No,No,7,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,6,6 to 8,No,3,2,17,Moderate
Lost,24,Male,Engineering,12,3,With family,Part time,Ambivert,Single,12:30:00 PM,1:30:00 PM,6:00:00 PM,8:00:00 AM,5:00:00 AM,"Music, Traveling, Playing football, watching football",No,No,No,2,Often,Sometimes,Regularly,Sometimes,Sometimes,Not at all,Very Often,2,3 to 5,No,2,1,9,Moderate
Happy,22,Male,Engineering,12,2,With family,None,Ambivert,In a relationship,11:00:00 AM,11:30:00 AM,4:00:00 PM,9:00:00 AM,5:00:00 AM,"Photography, Traveling",No,No,No,11,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,5,3 to 5,No,1,1,15,Moderate
Lost,21,Female,Business,5,1,With family,None,Ambivert,Single,10:30:00 AM,11:00:00 AM,2:30:00 PM,10:00:00 AM,3:00:00 AM,"Music, Dancing, Painting",No,No,No,2,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Not at all,5,more than 8,No,20,4,13,Moderate
Sad,22,Female,Engineering,11,1,With family,None,Ambivert,Single,11:00:00 AM,12:00:00 PM,4:00:00 PM,11:00:00 AM,2:00:00 AM,"Music, Photography, Painting",No,No,No,3,Sometimes,Sometimes,Regularly,Not at all,Sometimes,Not at all,Sometimes,3,6 to 8,No,2,4,22,Severe
Happy,25,Male,Environmental science ,10,1,With family,None,Extrovert,In a relationship,10:00:00 AM,10:30:00 AM,2:00:00 AM,12:00:00 PM,1:00:00 AM,"Music, Traveling",Yes,No,No,5,Very Often,Sometimes,Regularly,Sometimes,Sometimes,Not at all,Sometimes,2,6 to 8,No,2,1,8,Moderate
Happy,23,Male,Engineering,13,1,With family,Full time,Introvert,Single,9:30:00 AM,11:00:00 AM,3:30:00 PM,1:00:00 PM,3:30:00 AM,None,No,No,No,2,Very Often,Sometimes,Sometimes,Not at all,Regularly,Sometimes,Often,0,more than 8,No,2,4,4,None
Happy,24,Male,Engineering,8,1,With family,None,Extrovert,Single,11:00:00 AM,12:00:00 PM,4:00:00 PM,2:00:00 PM,2:00:00 AM,"Traveling, Programming",Yes,Yes,No,5,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,4,3 to 5,No,3,0,10,Moderate
Happy,25,Male,Architecture,15,1,With family,Full time,Introvert,In a relationship,7:00:00 AM,8:00:00 AM,2:00:00 PM,3:00:00 PM,12:00:00 PM,Photography,Yes,No,No,6,Sometimes,Not at all,Regularly,Sometimes,Regularly,Regularly,Not at all,2,0 to 2,No,3,2,6,Moderate
Lost,25,Male,Business,4,1,Without family,Part time,Introvert,In a relationship,9:00:00 AM,10:00:00 AM,3:00:00 PM,4:00:00 PM,2:00:00 AM,Gaming,Yes,No,No,8,Not at all,Not at all,Regularly,Not at all,Not at all,Not at all,Very Often,0,3 to 5,No,2,1,18,Moderate
Tensed,25,Male,Engineering,13,1,With family,Part time,Extrovert,Single,7:00:00 AM,9:00:00 AM,2:00:00 PM,5:00:00 PM,2:00:00 AM,"Music, Programming",No,No,No,6,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Very Often,10,3 to 5,Yes,0,2,10,Moderate
Tensed,22,Male,Engineering,10,0,With family,None,Introvert,Single,5:30:00 AM,11:00:00 AM,4:00:00 PM,6:00:00 PM,12:00:00 AM,None,No,No,No,2,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Sometimes,5,6 to 8,No,0,1,17,Moderate
Tensed,24,Female,Pharmacy,2,2,With family,Full time,Ambivert,Single,1:30:00 PM,2:00:00 PM,12:00:00 AM,7:00:00 PM,5:30:00 AM,"Music, Dancing",No,Yes,No,3,Sometimes,Very Often,Regularly,Not at all,Sometimes,Sometimes,Not at all,3,0 to 2,No,2,1,16,Moderate
Happy,24,Male,Business,7,2,With family,None,Introvert,Single,1:00:00 PM,2:00:00 PM,6:00:00 PM,8:00:00 PM,6:00:00 AM,Traveling,Yes,Yes,No,5,Very Often,Not at all,Sometimes,Sometimes,Sometimes,Not at all,Often,1,6 to 8,No,1,0,1,None
Tensed,21,Male,Business,6,2,With family,None,Introvert,Single,11:15:00 AM,12:00:00 AM,4:45:00 PM,9:00:00 PM,6:23:00 AM,"Photography, Traveling",No,No,No,3,Very Often,Sometimes,Regularly,Regularly,Sometimes,Not at all,Often,3,6 to 8,No,0,0,15,Moderate
Happy,25,Female,Business,12,2,With family,None,Introvert,Married,8:00:00 AM,10:00:00 AM,2:30:00 AM,10:00:00 PM,1:00:00 AM,Music,Yes,No,No,4,Sometimes,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0,6 to 8,No,0,1,12,Moderate
Tensed,24,Female,Engineering,11,0,With family,None,Introvert,Single,10:00:00 AM,11:00:00 AM,3:00:00 AM,11:00:00 PM,1:00:00 AM,Music,No,No,No,8,Sometimes,Sometimes,Sometimes,Sometimes,Regularly,Not at all,Not at all,1,6 to 8,No,0,3,5,Moderate
Tensed,23,Male,Engineering,3,1,With family,None,Introvert,In a relationship,10:00:00 AM,10:30:00 AM,2:30:00 PM,12:00:00 AM,2:00:00 AM,"Photography, Traveling, Programming",Yes,No,No,5,Very Often,Sometimes,Sometimes,Not at all,Not at all,Not at all,Very Often,3,0 to 2,No,1,0,7,Moderate
Tensed,23,Male,Engineering,5,2,With family,None,Introvert,In a relationship,11:00:00 AM,11:30:00 AM,1:30:00 AM,1:00:00 AM,4:00:00 AM,"Reading, Learning",No,No,No,4,Sometimes,Not at all,Regularly,Not at all,Not at all,Not at all,Sometimes,10,0 to 2,No,1,6,18,Moderate
Tensed,24,Female,Engineering,1,2,With family,Part time,Introvert,Single,5:00:00 AM,9:30:00 AM,2:30:00 PM,2:00:00 AM,11:00:00 PM,"Photography, reading",No,No,No,1,Sometimes,Not at all,Regularly,Not at all,Not at all,Not at all,Not at all,8,3 to 5,No,0,0,10,Moderate
